KAYNAK,Rank,Ürün Adı,Fiyat,Link,Marka
a101.csv,137,Homend Royaltea 1728H Çay Makinesi Inox,"₺2.299,00",https://www.a101.com.tr/elektronik/homend-royaltea-1728h-cay-makinesi-inox_p-26063180,
a101.csv,138,Ugg Classic Ultra Mini Platform 1135092-BLK Kadın Bot Siyah,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-classic-ultra-mini-platform-1135092-blk-kadin-bot-siyah_p-26044411,
a101.csv,139,Ugg Ultra Mini 1116109-CHE Kadın Bot Kahverengi,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-che-kadin-bot-kahverengi_p-26031817,
a101.csv,140,"Brita Aluna XL Filtreli Sürahi 3,5 L","₺479,00",https://www.a101.com.tr/ev-yasam/brita-aluna-xl-filtreli-surahi-3-5-l_p-26022317,
a101.csv,141,Tsuyoi Kaze Universal Motosiklet Sele Kılıfı,"₺79,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-sele-kilifi_p-26021225,
a101.csv,142,Altus AL 1054 E Kurutma Makinesi,"₺16.999,00",https://www.a101.com.tr/elektronik/altus-al-1054-e-kurutma-makinesi_p-26067893,
a101.csv,143,"Stanley Classic Legendary Camp Mug 10-11444-037 Çelik Termos Bardak 0,23 L Pembe","₺999,00",https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-camp-mug-10-11444-037-celik-termos-bardak-0-23-l-pembe_p-26059322,
a101.csv,144,Sinbo Işıklı Otomatik Baharat ve Tuz Öğütücü,"₺255,00",https://www.a101.com.tr/ev-yasam/sinbo-isikli-otomatik-baharat-ve-tuz-ogutucu_p-26030747,
a101.csv,145,Nehir Spatula,"₺145,00",https://www.a101.com.tr/ev-yasam/nehir-spatula_p-26007999,
a101.csv,146,SEG SBM 4021 WE 4 Programlı Bulaşık Makinesi,"₺11.499,00",https://www.a101.com.tr/elektronik/seg-sbm-4021-we-4-programli-bulasik-makinesi_p-26058861,
a101.csv,147,Kzy Mobilya Güney 4 Raflı 2 Kapaklı Çok Amaçlı Ayakkabılık Beyaz,"₺1.699,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-guney-4-rafli-2-kapakli-cok-amacli-ayakkabilik-beyaz_p-26065416,
a101.csv,148,Viva Cappio Kadın Deodorant 150 ml,"₺109,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/viva-cappio-kadin-deodorant-150-ml_p-24002235,
a101.csv,149,King Nihavend KCM336 Çay Makinesi,"₺1.799,00",https://www.a101.com.tr/elektronik/king-nihavend-kcm336-cay-makinesi_p-26058670,
a101.csv,150,Kalima Tavuk Etli Yetişkin Kedi Maması 10 KG,"₺549,00",https://www.a101.com.tr/ev-yasam/kalima-tavuk-etli-yetiskin-kedi-mamasi-10-kg_p-25006340,
a101.csv,151,Sinbo SMX-2769 Stantlı Mikser,"₺2.999,00",https://www.a101.com.tr/elektronik/sinbo-smx-2769-stantli-mikser_p-26045944,
a101.csv,152,Ayaklı Kahve Yanı Bardak 6'lı 125 cc,"₺149,00",https://www.a101.com.tr/ev-yasam/ayakli-kahve-yani-bardak-6-li-125-cc_p-26061861,
a101.csv,153,SEG LF 2831 Buzdolabı,"₺12.999,00",https://www.a101.com.tr/elektronik/seg-lf-2831-buzdolabi_p-26046959,
a101.csv,154,Tefal Ultimate Pure FV9848 3200 W Buharlı Ütü,"₺3.499,00",https://www.a101.com.tr/elektronik/tefal-ultimate-pure-fv9848-3200-w-buharli-utu_p-26058603,
a101.csv,155,Tsuyoi Kaze Balaklava,"₺69,50",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-balaklava_p-26028834,
a101.csv,156,Bosch V-Line Matkap Vidalama ve Lokma Ucu Seti 103 Parça,"₺1.049,00",https://www.a101.com.tr/oto-bahce-yapi/bosch-v-line-matkap-vidalama-ve-lokma-ucu-seti-103-parca_p-26066587,
a101.csv,157,"Stanley Quencher H2.O FlowState Tumbler 10-10826-305 Pipetli Termos 0,6 L Siyah","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-305-pipetli-termos-0-6-l-siyah_p-26061995,
a101.csv,158,Walke W-Fit Uzaktan Kumandalı Katlanabilir Koşu Bandı,"₺5.599,00",https://www.a101.com.tr/ev-yasam/walke-w-fit-uzaktan-kumandali-katlanabilir-kosu-bandi_p-26064556,
a101.csv,159,Pierre Cardin PC-M20002 Boyun ve Sırt Masaj Aleti,"₺1.199,00",https://www.a101.com.tr/elektronik/pierre-cardin-pc-m20002-boyun-ve-sirt-masaj-aleti_p-26060646,
a101.csv,160,Walke 14 Parça Lüx Pilates Seti Mor,"₺949,00",https://www.a101.com.tr/ev-yasam/walke-14-parca-lux-pilates-seti-mor_p-26067946,
a101.csv,161,Pierre Cardin H10001 Vakumlu Siyah Nokta Temizleyicisi,"₺399,00",https://www.a101.com.tr/elektronik/pierre-cardin-h10001-vakumlu-siyah-nokta-temizleyicisi_p-26048804,
a101.csv,162,Çift Kişilik Alez,"₺149,00",https://www.a101.com.tr/ev-yasam/cift-kisilik-alez_p-26066600,
a101.csv,163,"Stanley Quencher H2.O FlowState Tumbler 10-10824-453 Pipetli Termos 1,18 L Bej","₺1.799,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10824-453-pipetli-termos-1-18-l-bej_p-26053026,
a101.csv,164,Stanley The Stay-Hot Camp 10-09366-171 Klasik Paslanmaz Çelik Termos Bardak 350 ml Açık Mavi,"₺1.199,00",https://www.a101.com.tr/ev-yasam/stanley-the-stay-hot-camp-10-09366-171-klasik-paslanmaz-celik-termos-bardak-350-ml-acik-mavi_p-26019529,
a101.csv,165,Arzum Chefy AR1139 El Blender,"₺1.299,00",https://www.a101.com.tr/elektronik/arzum-chefy-ar1139-el-blender_p-26066136,
a101.csv,166,Calvin Klein Eternity Erkek Deo Stick 75 G,"₺899,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-eternity-erkek-deo-stick-75-g_p-24005206,
a101.csv,167,Calvin Klein One Unisex Deo Stick 75 G,"₺949,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deo-stick-75-g_p-24000170,
a101.csv,168,Altus AL 380 XE Buzdolabı,"₺28.999,00",https://www.a101.com.tr/elektronik/altus-al-380-xe-buzdolabi_p-26066346,
a101.csv,169,Ugg Ultra Mini 1116109-GREY Kadın Bot Gri,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-grey-kadin-bot-gri_p-26031817,
a101.csv,170,PP 3'lü Valiz Seti Koyu Siyah,"₺2.315,00",https://www.a101.com.tr/giyim-aksesuar/pp-3-lu-valiz-seti-koyu-siyah_p-26040954,
a101.csv,171,Walke Elite WXA702 Titreşimli Basen Karın Kol Bacak Spor Aleti,"₺2.099,00",https://www.a101.com.tr/ev-yasam/walke-elite-wxa702-titresimli-basen-karin-kol-bacak-spor-aleti_p-26067947,
a101.csv,172,Ugg Ultra Mini 1116109-SAN Kadın Bot Kum,"₺8.499,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-1116109-san-kadin-bot-kum_p-26031817,
a101.csv,173,Kzy Mobilya 8 Raflı 2 Kapaklı 16R Çok Amaçlı Dolap Beyaz,"₺2.299,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-2-kapakli-16r-cok-amacli-dolap-beyaz_p-26065415,
a101.csv,174,Xiaomi Vacuum Cleaner G20 Şarjlı Dikey Süpürge,"₺10.299,00",https://www.a101.com.tr/elektronik/xiaomi-vacuum-cleaner-g20-sarjli-dikey-supurge_p-26066417,
a101.csv,175,Garaj Home 6 Kapaklı Dolap Beyaz,"₺6.899,00",https://www.a101.com.tr/ev-yasam/garaj-home-6-kapakli-dolap-beyaz_p-26052769,
a101.csv,176,PP Makyaj Çantası 28x17x28 cm Koyu Siyah,"₺299,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/pp-makyaj-cantasi-28x17x28-cm-koyu-siyah_p-26045749,
a101.csv,177,Pierre Cardin Elektrikli Katlanabilir Cezve,"₺599,00",https://www.a101.com.tr/elektronik/pierre-cardin-elektrikli-katlanabilir-cezve_p-26058910,
a101.csv,178,Tsuyoi Kaze Universal Motosiklet Brandası,"₺399,00",https://www.a101.com.tr/oto-bahce-yapi/tsuyoi-kaze-universal-motosiklet-brandasi_p-26021224,
a101.csv,179,"Omo Toz Deterjan 5,5 Kg","₺499,00",https://www.a101.com.tr/market/omo-toz-deterjan-5-5-kg_p-22000279,
a101.csv,180,Bingo Mutlu Yuvam Beyaz ve Renkliler Toz Çamaşır Deterjanı 10 Kg,"₺529,00",https://www.a101.com.tr/market/bingo-mutlu-yuvam-beyaz-ve-renkliler-toz-camasir-deterjani-10-kg_p-22001910,
a101.csv,181,"Stanley Quencher H2.O FlowState Tumbler 10-10826-307 Pipetli Termos 0,6 L Lila","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-307-pipetli-termos-0-6-l-lila_p-26061995,
a101.csv,182,Ugg Ultra Mini Platform 1135092-SAN Kadın Bot Kum,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-platform-1135092-san-kadin-bot-kum_p-26044411,
a101.csv,183,Arzum Forte AR1157 Multi Blender Seti,"₺2.099,00",https://www.a101.com.tr/elektronik/arzum-forte-ar1157-multi-blender-seti_p-26066146,
a101.csv,184,Homend Grillant 1356H Inox Tost Makinesi,"₺2.199,00",https://www.a101.com.tr/elektronik/homend-grillant-1356h-inox-tost-makinesi_p-26045352,
a101.csv,185,Walke Şınav Tahtası Çalışma Platformu Aleti,"₺399,00",https://www.a101.com.tr/ev-yasam/walke-sinav-tahtasi-calisma-platformu-aleti_p-26067957,
a101.csv,186,Silk & Blue Suba Kadın Çorap 2'li Pembe,"₺29,50",https://www.a101.com.tr/giyim-aksesuar/silk-blue-suba-kadin-corap-2-li-pembe_p-25000320,
a101.csv,187,Mobilique Poyraz 1 2 Kapaklı 7 Raflı Çok Amaçlı Dolap Beyaz,"₺2.199,00",https://www.a101.com.tr/ev-yasam/mobilique-poyraz-1-2-kapakli-7-rafli-cok-amacli-dolap-beyaz_p-26062763,
a101.csv,188,"Stanley Classic Legendary Camp Mug 10-11444-036 Çelik Termos Bardak 0,23 L Koyu Mavi","₺999,00",https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-camp-mug-10-11444-036-celik-termos-bardak-0-23-l-koyu-mavi_p-26059322,
a101.csv,189,Kiwi KSI-6306 Buharlı Ütü,"₺699,00",https://www.a101.com.tr/elektronik/kiwi-ksi-6306-buharli-utu_p-26009921,
a101.csv,190,Altus AL CM 91050 D 9 Kg 1000 Devir Çamaşır Makinesi,"₺19.999,00",https://www.a101.com.tr/elektronik/altus-al-cm-91050-d-9-kg-1000-devir-camasir-makinesi_p-26065730,
a101.csv,191,Newton Cam Ankastre Set Siyah (F-17-GLS 640-MFA400),"₺7.499,00",https://www.a101.com.tr/elektronik/newton-cam-ankastre-set-siyah-f-17-gls-640-mfa400-_p-26031596,
a101.csv,192,Katlanabilir Kamp Sandalyesi 74x51x80 cm Mavi,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-mavi_p-26014370,
a101.csv,193,"Perwoll Siyahlar Sıvı Deterjan 2,97 L","₺364,90",https://www.a101.com.tr/market/perwoll-siyahlar-sivi-deterjan-2-97-l_p-22002315,
a101.csv,194,Goodwest Cam Ankastre Set 3'lü Beyaz,"₺7.999,00",https://www.a101.com.tr/elektronik/goodwest-cam-ankastre-set-3-lu-beyaz_p-26038087,
a101.csv,195,Kzy Mobilya 8 Raflı Çok Amaçlı Dolap Beyaz,"₺2.299,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-cok-amacli-dolap-beyaz_p-26065400,
a101.csv,196,Stanley The Stay-Hot Camp 10-09366-006 Klasik Paslanmaz Çelik Termos Bardak 350 ml Siyah,"₺1.199,00",https://www.a101.com.tr/ev-yasam/stanley-the-stay-hot-camp-10-09366-006-klasik-paslanmaz-celik-termos-bardak-350-ml-siyah_p-26019529,
a101.csv,197,Calvin Klein Euphoria Erkek Deo Stick 75 ml,"₺1.099,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-euphoria-erkek-deo-stick-75-ml_p-24000175,
a101.csv,198,Aprilla AHS 2026 Saç Düzleştirici Siyah,"₺399,00",https://www.a101.com.tr/elektronik/aprilla-ahs-2026-sac-duzlestirici-siyah_p-26043216,
a101.csv,199,Triathlon T-217 Katlanabilir Langırt Masası,"₺3.249,00",https://www.a101.com.tr/ev-yasam/triathlon-t-217-katlanabilir-langirt-masasi_p-26068130,
a101.csv,200,Kzy Mobilya Çok Amaçlı Dolap 110 cm Beyaz,"₺1.799,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-cok-amacli-dolap-110-cm-beyaz_p-26065403,
a101.csv,201,Fisher Price Sesli ve Işıklı Eğitici Lazımlık,"₺549,00",https://www.a101.com.tr/anne-bebek-oyuncak/fisher-price-sesli-ve-isikli-egitici-lazimlik_p-26016363,
a101.csv,202,Pierre Cardin Tek Kişilik Mikrofiber Yorgan 155x215 cm,"₺499,00",https://www.a101.com.tr/ev-yasam/pierre-cardin-tek-kisilik-mikrofiber-yorgan-155x215-cm_p-26060274,
a101.csv,203,Lila Çift Kişilik Kenar Korumalı Yatak Alezi 160x200x30 cm,"₺349,00",https://www.a101.com.tr/ev-yasam/lila-cift-kisilik-kenar-korumali-yatak-alezi-160x200x30-cm_p-26055830,
a101.csv,204,Walke Healife Spinning Kondisyon Bisikleti,"₺5.999,00",https://www.a101.com.tr/ev-yasam/walke-healife-spinning-kondisyon-bisikleti_p-26065849,
a101.csv,205,Remaks 9 Sepetli Çok Amaçlı Dolap Renkli,"₺1.349,00",https://www.a101.com.tr/ev-yasam/remaks-9-sepetli-cok-amacli-dolap-renkli_p-26057346,
a101.csv,206,5 Çekmeceli Organizer,"₺299,00",https://www.a101.com.tr/ev-yasam/5-cekmeceli-organizer_p-26066558,
a101.csv,207,Pierre Cardin PCG30001 Kulak Burun Tüy Alma Makinesi,"₺129,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/pierre-cardin-pcg30001-kulak-burun-tuy-alma-makinesi_p-26046406,
a101.csv,208,"Stanley 10-09382-081 Klasik Kaşıklı Yemek Termosu 0,40 L Mavi","₺1.599,00",https://www.a101.com.tr/ev-yasam/stanley-10-09382-081-klasik-kasikli-yemek-termosu-0-40-l-mavi_p-26019524,
a101.csv,209,QCY GTC Akıllı Saat,"₺599,00",https://www.a101.com.tr/elektronik/qcy-gtc-akilli-saat_p-25004485,
a101.csv,210,Walke Spade Pro Kondisyon Küreği,"₺7.499,00",https://www.a101.com.tr/ev-yasam/walke-spade-pro-kondisyon-kuregi_p-26065850,
a101.csv,211,Eder Market Duru 4 Çekmeceli Aynalı Makyaj Masası Beyaz,"₺3.699,00",https://www.a101.com.tr/ev-yasam/eder-market-duru-4-cekmeceli-aynali-makyaj-masasi-beyaz_p-26062693,
a101.csv,212,Ferre 45630 Mini Fırın 45 L Beyaz,"₺2.999,00",https://www.a101.com.tr/elektronik/ferre-45630-mini-firin-45-l-beyaz_p-26064616,
a101.csv,213,Garaj Home Vera 3 Kapaklı 2 Çekmeceli Dolap Beyaz,"₺3.999,00",https://www.a101.com.tr/ev-yasam/garaj-home-vera-3-kapakli-2-cekmeceli-dolap-beyaz_p-26063092,
a101.csv,214,Nehir Zarif Sade Çatal Kaşık Takımı 60 Parça,"₺2.499,00",https://www.a101.com.tr/ev-yasam/nehir-zarif-sade-catal-kasik-takimi-60-parca_p-26052739,
a101.csv,215,Hilfe Akım Korumalı USB'li Uzatma Kablosu Beyaz,"₺399,00",https://www.a101.com.tr/oto-bahce-yapi/hilfe-akim-korumali-usb-li-uzatma-kablosu-beyaz_p-26065460,
a101.csv,216,SEG NFX 4802 No-Frost Buzdolabı,"₺19.999,00",https://www.a101.com.tr/elektronik/seg-nfx-4802-no-frost-buzdolabi_p-26051410,
a101.csv,217,Triathlon T-219 Yüksek Titreşimli Egzersiz ve Kondisyon Aleti,"₺2.399,00",https://www.a101.com.tr/ev-yasam/triathlon-t-219-yuksek-titresimli-egzersiz-ve-kondisyon-aleti_p-26068132,
a101.csv,218,Arzum DreamTea AR3134 Çay Makinesi,"₺1.449,00",https://www.a101.com.tr/elektronik/arzum-dreamtea-ar3134-cay-makinesi_p-26066142,
a101.csv,219,Stanley The Stay-Hot Camp 10-09366-005 Klasik Paslanmaz Çelik Termos Bardak 350 ml Yeşil,"₺1.199,00",https://www.a101.com.tr/ev-yasam/stanley-the-stay-hot-camp-10-09366-005-klasik-paslanmaz-celik-termos-bardak-350-ml-yesil_p-26019529,
a101.csv,220,Sinbo SCM-2978 Otomatik Türk Kahvesi Makinesi,"₺999,00",https://www.a101.com.tr/elektronik/sinbo-scm-2978-otomatik-turk-kahvesi-makinesi_p-26045652,
a101.csv,221,Sinbo SCM-2953 Filtre Kahve Makinesi,"₺799,00",https://www.a101.com.tr/elektronik/sinbo-scm-2953-filtre-kahve-makinesi_p-26067589,
a101.csv,222,Tefal K2210455 Ekmek Bıçağı 20 cm,"₺379,00",https://www.a101.com.tr/ev-yasam/tefal-k2210455-ekmek-bicagi-20-cm_p-26058958,
a101.csv,223,Mercusys 300 Mbps Kablosuz Ağ Genişletici,"₺399,00",https://www.a101.com.tr/elektronik/mercusys-300-mbps-kablosuz-ag-genisletici_p-26008510,
a101.csv,224,"Perwoll Sıvı Deterjan Renkliler 2,97 L","₺364,90",https://www.a101.com.tr/market/perwoll-sivi-deterjan-renkliler-2-97-l_p-22002316,
a101.csv,225,"Orbus Dekoratif LED Çoklu 2,5 m","₺149,00",https://www.a101.com.tr/ev-yasam/orbus-dekoratif-led-coklu-2-5-m_p-25006552,
a101.csv,226,Kiwi KCC 4321 Buharlı Halı Yıkama Makinesi Beyaz,"₺4.999,00",https://www.a101.com.tr/elektronik/kiwi-kcc-4321-buharli-hali-yikama-makinesi-beyaz_p-26056106,
a101.csv,227,Arzum AR1167 Starblend Multi Blender Seti,"₺2.299,00",https://www.a101.com.tr/elektronik/arzum-ar1167-starblend-multi-blender-seti_p-26025391,
a101.csv,228,Cam Kap Taşıma Çantası Kırmızı Yeşil,"₺299,00",https://www.a101.com.tr/ev-yasam/cam-kap-tasima-cantasi-kirmizi-yesil_p-26067864,
a101.csv,229,"JVC LT-65VA3405T 65"" 4K Ultra HD Android TV","₺24.999,00",https://www.a101.com.tr/elektronik/jvc-lt-65va3405t-65-4k-ultra-hd-android-tv_p-26048269,
a101.csv,230,Samsung WW11DG5B25AEAH Çamaşır Makinesi 11 kg Beyaz,"₺23.999,00",https://www.a101.com.tr/elektronik/samsung-ww11dg5b25aeah-camasir-makinesi-11-kg-beyaz-_p-26065747,
a101.csv,231,Altus AL 413P 3 Programlı Bulaşık Makinesi,"₺11.999,00",https://www.a101.com.tr/elektronik/altus-al-413p-3-programli-bulasik-makinesi_p-26065726,
a101.csv,232,Dijitsu DB120 Retro Mini Buzdolabı Siyah,"₺6.999,00",https://www.a101.com.tr/elektronik/dijitsu-db120-retro-mini-buzdolabi-siyah_p-26065330,
a101.csv,233,Korkmaz A189 Riva Çaydanlık Takımı Kırmızı,"₺1.499,00",https://www.a101.com.tr/ev-yasam/korkmaz-a189-riva-caydanlik-takimi-kirmizi_p-26033068,
a101.csv,234,Calvin Klein One Unisex Deodorant 150 ml,"₺1.199,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-one-unisex-deodorant-150-ml_p-24005327,
a101.csv,235,Pierre Cardin PC-B20001 Dijital Baskül,"₺329,00",https://www.a101.com.tr/elektronik/pierre-cardin-pc-b20001-dijital-baskul_p-26044579,
a101.csv,236,Kiwi KCW-1223 Şarjlı Çırpıcı Beyaz,"₺199,00",https://www.a101.com.tr/ev-yasam/kiwi-kcw-1223-sarjli-cirpici-beyaz_p-26058606,
a101.csv,237,Ayaklı Cam Sunum Kasesi 19 cm,"₺129,00",https://www.a101.com.tr/ev-yasam/ayakli-cam-sunum-kasesi-19-cm_p-26055569,
a101.csv,238,Seg SE 4020 SBM 4 Programlı Bulaşık Makinesi,"₺11.999,00",https://www.a101.com.tr/elektronik/seg-se-4020-sbm-4-programli-bulasik-makinesi_p-26056295,
a101.csv,239,Garaj Home Yaren 4 Kapaklı 2 Çekmeceli Dolap Beyaz,"₺5.699,00",https://www.a101.com.tr/ev-yasam/garaj-home-yaren-4-kapakli-2-cekmeceli-dolap-beyaz_p-26051594,
a101.csv,240,Karcher WV 2 Plus Şarjlı Cam Silme Makinesi,"₺2.999,00",https://www.a101.com.tr/elektronik/karcher-wv-2-plus-sarjli-cam-silme-makinesi_p-26067750,
a101.csv,241,"Stanley Quencher H2.O FlowState Tumbler 10-10826-307 Pipetli Termos 0,6 L Lila","₺1.299,00",https://www.a101.com.tr/ev-yasam/stanley-quencher-h2-o-flowstate-tumbler-10-10826-307-pipetli-termos-0-6-l-lila_p-26061995,
a101.csv,242,Ugg Ultra Mini Platform 1135092-SAN Kadın Bot Kum,"₺8.999,00",https://www.a101.com.tr/giyim-aksesuar/ugg-ultra-mini-platform-1135092-san-kadin-bot-kum_p-26044411,
a101.csv,243,Arzum Forte AR1157 Multi Blender Seti,"₺2.099,00",https://www.a101.com.tr/elektronik/arzum-forte-ar1157-multi-blender-seti_p-26066146,
a101.csv,244,Homend Grillant 1356H Inox Tost Makinesi,"₺2.199,00",https://www.a101.com.tr/elektronik/homend-grillant-1356h-inox-tost-makinesi_p-26045352,
a101.csv,245,Walke Şınav Tahtası Çalışma Platformu Aleti,"₺399,00",https://www.a101.com.tr/ev-yasam/walke-sinav-tahtasi-calisma-platformu-aleti_p-26067957,
a101.csv,246,Silk & Blue Suba Kadın Çorap 2'li Pembe,"₺29,50",https://www.a101.com.tr/giyim-aksesuar/silk-blue-suba-kadin-corap-2-li-pembe_p-25000320,
a101.csv,247,Mobilique Poyraz 1 2 Kapaklı 7 Raflı Çok Amaçlı Dolap Beyaz,"₺2.199,00",https://www.a101.com.tr/ev-yasam/mobilique-poyraz-1-2-kapakli-7-rafli-cok-amacli-dolap-beyaz_p-26062763,
a101.csv,248,"Stanley Classic Legendary Camp Mug 10-11444-036 Çelik Termos Bardak 0,23 L Koyu Mavi","₺999,00",https://www.a101.com.tr/ev-yasam/stanley-classic-legendary-camp-mug-10-11444-036-celik-termos-bardak-0-23-l-koyu-mavi_p-26059322,
a101.csv,249,Kiwi KSI-6306 Buharlı Ütü,"₺699,00",https://www.a101.com.tr/elektronik/kiwi-ksi-6306-buharli-utu_p-26009921,
a101.csv,250,Altus AL CM 91050 D 9 Kg 1000 Devir Çamaşır Makinesi,"₺19.999,00",https://www.a101.com.tr/elektronik/altus-al-cm-91050-d-9-kg-1000-devir-camasir-makinesi_p-26065730,
a101.csv,251,Newton Cam Ankastre Set Siyah (F-17-GLS 640-MFA400),"₺7.499,00",https://www.a101.com.tr/elektronik/newton-cam-ankastre-set-siyah-f-17-gls-640-mfa400-_p-26031596,
a101.csv,252,Katlanabilir Kamp Sandalyesi 74x51x80 cm Mavi,"₺279,00",https://www.a101.com.tr/ev-yasam/katlanabilir-kamp-sandalyesi-74x51x80-cm-mavi_p-26014370,
a101.csv,253,"Perwoll Siyahlar Sıvı Deterjan 2,97 L","₺364,90",https://www.a101.com.tr/market/perwoll-siyahlar-sivi-deterjan-2-97-l_p-22002315,
a101.csv,254,Goodwest Cam Ankastre Set 3'lü Beyaz,"₺7.999,00",https://www.a101.com.tr/elektronik/goodwest-cam-ankastre-set-3-lu-beyaz_p-26038087,
a101.csv,255,Kzy Mobilya 8 Raflı Çok Amaçlı Dolap Beyaz,"₺2.299,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-8-rafli-cok-amacli-dolap-beyaz_p-26065400,
a101.csv,256,Stanley The Stay-Hot Camp 10-09366-006 Klasik Paslanmaz Çelik Termos Bardak 350 ml Siyah,"₺1.199,00",https://www.a101.com.tr/ev-yasam/stanley-the-stay-hot-camp-10-09366-006-klasik-paslanmaz-celik-termos-bardak-350-ml-siyah_p-26019529,
a101.csv,257,Calvin Klein Euphoria Erkek Deo Stick 75 ml,"₺1.099,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/calvin-klein-euphoria-erkek-deo-stick-75-ml_p-24000175,
a101.csv,258,Aprilla AHS 2026 Saç Düzleştirici Siyah,"₺399,00",https://www.a101.com.tr/elektronik/aprilla-ahs-2026-sac-duzlestirici-siyah_p-26043216,
a101.csv,259,Triathlon T-217 Katlanabilir Langırt Masası,"₺3.249,00",https://www.a101.com.tr/ev-yasam/triathlon-t-217-katlanabilir-langirt-masasi_p-26068130,
a101.csv,260,Kzy Mobilya Çok Amaçlı Dolap 110 cm Beyaz,"₺1.799,00",https://www.a101.com.tr/ev-yasam/kzy-mobilya-cok-amacli-dolap-110-cm-beyaz_p-26065403,
a101.csv,261,Fisher Price Sesli ve Işıklı Eğitici Lazımlık,"₺549,00",https://www.a101.com.tr/anne-bebek-oyuncak/fisher-price-sesli-ve-isikli-egitici-lazimlik_p-26016363,
a101.csv,262,Pierre Cardin Tek Kişilik Mikrofiber Yorgan 155x215 cm,"₺499,00",https://www.a101.com.tr/ev-yasam/pierre-cardin-tek-kisilik-mikrofiber-yorgan-155x215-cm_p-26060274,
a101.csv,263,Lila Çift Kişilik Kenar Korumalı Yatak Alezi 160x200x30 cm,"₺349,00",https://www.a101.com.tr/ev-yasam/lila-cift-kisilik-kenar-korumali-yatak-alezi-160x200x30-cm_p-26055830,
a101.csv,264,Walke Healife Spinning Kondisyon Bisikleti,"₺5.999,00",https://www.a101.com.tr/ev-yasam/walke-healife-spinning-kondisyon-bisikleti_p-26065849,
a101.csv,265,Remaks 9 Sepetli Çok Amaçlı Dolap Renkli,"₺1.349,00",https://www.a101.com.tr/ev-yasam/remaks-9-sepetli-cok-amacli-dolap-renkli_p-26057346,
a101.csv,266,5 Çekmeceli Organizer,"₺299,00",https://www.a101.com.tr/ev-yasam/5-cekmeceli-organizer_p-26066558,
a101.csv,267,Pierre Cardin PCG30001 Kulak Burun Tüy Alma Makinesi,"₺129,00",https://www.a101.com.tr/kozmetik-kisisel-bakim/pierre-cardin-pcg30001-kulak-burun-tuy-alma-makinesi_p-26046406,
a101.csv,268,"Stanley 10-09382-081 Klasik Kaşıklı Yemek Termosu 0,40 L Mavi","₺1.599,00",https://www.a101.com.tr/ev-yasam/stanley-10-09382-081-klasik-kasikli-yemek-termosu-0-40-l-mavi_p-26019524,
a101.csv,269,QCY GTC Akıllı Saat,"₺599,00",https://www.a101.com.tr/elektronik/qcy-gtc-akilli-saat_p-25004485,
a101.csv,270,Walke Spade Pro Kondisyon Küreği,"₺7.499,00",https://www.a101.com.tr/ev-yasam/walke-spade-pro-kondisyon-kuregi_p-26065850,
a101.csv,271,Eder Market Duru 4 Çekmeceli Aynalı Makyaj Masası Beyaz,"₺3.699,00",https://www.a101.com.tr/ev-yasam/eder-market-duru-4-cekmeceli-aynali-makyaj-masasi-beyaz_p-26062693,
a101.csv,272,Ferre 45630 Mini Fırın 45 L Beyaz,"₺2.999,00",https://www.a101.com.tr/elektronik/ferre-45630-mini-firin-45-l-beyaz_p-26064616,
a101.csv,273,Garaj Home Vera 3 Kapaklı 2 Çekmeceli Dolap Beyaz,"₺3.999,00",https://www.a101.com.tr/ev-yasam/garaj-home-vera-3-kapakli-2-cekmeceli-dolap-beyaz_p-26063092,
